,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
3469,1,36,176.0,83.0,26.0,101.0,40.8
1870,0,54,154.0,58.0,7.0,82.0,39.4
12575,1,57,185.0,80.0,7.0,93.0,39.4
7289,0,53,167.0,72.0,20.0,96.0,40.4
3733,0,26,156.0,53.0,14.0,93.0,40.3
9846,1,75,179.0,84.0,3.0,88.0,38.7
738,1,35,186.0,92.0,24.0,99.0,40.9
11457,0,57,171.0,65.0,15.0,88.0,40.3
3889,1,32,190.0,89.0,15.0,98.0,40.3
4635,0,39,174.0,71.0,2.0,88.0,38.3
7926,1,45,180.0,80.0,7.0,77.0,39.6
8192,0,76,153.0,55.0,14.0,93.0,40.0
6395,1,56,158.0,64.0,27.0,109.0,40.6
5070,0,32,159.0,60.0,25.0,107.0,40.9
14910,1,52,182.0,84.0,12.0,87.0,40.0
13098,1,70,179.0,88.0,4.0,79.0,38.8
3844,1,65,174.0,81.0,21.0,103.0,40.6
4842,1,54,176.0,80.0,20.0,95.0,39.7
750,1,21,173.0,78.0,28.0,108.0,40.7
7187,1,20,189.0,90.0,27.0,98.0,40.7
7931,1,22,184.0,87.0,27.0,103.0,40.8
14866,1,31,174.0,72.0,18.0,99.0,40.3
12305,0,29,166.0,61.0,4.0,89.0,39.2
1839,1,44,184.0,89.0,14.0,96.0,40.2
14798,0,60,142.0,52.0,3.0,82.0,38.5
3477,0,28,158.0,55.0,19.0,101.0,40.5
1275,1,71,193.0,97.0,8.0,88.0,39.4
3721,0,59,166.0,68.0,14.0,89.0,40.3
10115,0,30,161.0,61.0,26.0,116.0,40.8
7599,1,20,173.0,74.0,25.0,100.0,40.6
9033,1,23,187.0,78.0,11.0,87.0,39.7
13343,0,25,157.0,58.0,24.0,100.0,40.5
11518,0,23,151.0,48.0,29.0,110.0,40.9
5503,0,72,186.0,84.0,13.0,93.0,40.0
6174,1,49,171.0,71.0,11.0,98.0,40.2
2264,0,46,162.0,68.0,5.0,92.0,38.8
8419,1,27,171.0,73.0,17.0,102.0,40.2
1536,0,50,174.0,76.0,25.0,104.0,40.6
5391,1,28,181.0,87.0,18.0,91.0,40.6
9157,1,48,192.0,94.0,6.0,85.0,39.1
4925,1,39,175.0,79.0,22.0,99.0,40.5
1369,0,61,159.0,59.0,10.0,82.0,39.9
740,0,45,156.0,57.0,27.0,104.0,40.6
3813,0,22,170.0,69.0,26.0,100.0,41.0
4238,0,62,160.0,59.0,5.0,82.0,39.1
1188,1,24,192.0,86.0,27.0,106.0,40.5
13452,0,48,147.0,54.0,14.0,101.0,40.1
6050,0,27,160.0,58.0,22.0,104.0,40.4
1570,0,43,169.0,66.0,5.0,91.0,39.1
9422,0,52,172.0,70.0,25.0,111.0,40.8
6075,0,20,170.0,66.0,18.0,99.0,40.1
2527,1,20,194.0,97.0,20.0,96.0,40.4
2127,1,25,179.0,76.0,30.0,105.0,40.8
10074,1,42,184.0,89.0,24.0,105.0,40.5
2764,1,67,181.0,85.0,2.0,76.0,37.9
10409,1,62,189.0,98.0,26.0,109.0,41.0
12331,1,20,206.0,105.0,11.0,94.0,40.0
6375,0,55,162.0,64.0,28.0,111.0,40.7
12172,1,52,199.0,94.0,15.0,99.0,39.9
6020,1,34,170.0,80.0,9.0,95.0,39.9
10035,1,33,183.0,88.0,9.0,89.0,39.7
1981,1,37,172.0,77.0,22.0,105.0,40.5
10256,0,74,158.0,58.0,15.0,88.0,39.8
7075,1,38,177.0,76.0,4.0,86.0,39.1
10615,0,56,161.0,58.0,12.0,93.0,40.2
7946,0,34,147.0,52.0,27.0,113.0,40.7
4104,0,76,186.0,89.0,11.0,98.0,40.0
2057,1,33,193.0,91.0,13.0,89.0,40.3
12966,0,33,156.0,60.0,14.0,88.0,40.2
9222,0,30,181.0,77.0,29.0,113.0,40.8
12855,1,38,179.0,84.0,23.0,102.0,40.8
5359,1,64,188.0,96.0,13.0,92.0,39.6
11697,1,46,178.0,77.0,13.0,90.0,40.1
14743,0,29,169.0,70.0,16.0,99.0,40.2
5778,0,40,170.0,70.0,29.0,109.0,41.1
13379,1,28,191.0,87.0,6.0,82.0,39.3
6485,0,31,173.0,73.0,3.0,81.0,38.4
3942,0,71,154.0,61.0,25.0,111.0,40.6
9270,1,24,171.0,75.0,17.0,101.0,40.2
3717,0,24,175.0,72.0,15.0,90.0,40.3
5046,0,21,172.0,64.0,15.0,94.0,40.1
1710,0,24,171.0,64.0,13.0,89.0,39.8
13118,1,29,192.0,97.0,10.0,84.0,39.5
13819,1,34,189.0,90.0,15.0,92.0,40.3
5960,1,23,182.0,82.0,23.0,109.0,40.7
562,1,34,194.0,96.0,19.0,101.0,40.5
13768,0,31,161.0,62.0,9.0,93.0,39.4
4231,1,42,175.0,78.0,25.0,111.0,40.9
640,0,47,173.0,74.0,10.0,97.0,39.8
1669,0,25,185.0,79.0,27.0,90.0,40.7
3000,1,68,188.0,90.0,10.0,85.0,40.1
7309,0,59,156.0,60.0,26.0,102.0,40.8
13396,1,53,183.0,81.0,20.0,107.0,40.7
7809,0,43,156.0,58.0,6.0,87.0,39.1
2407,1,23,191.0,88.0,10.0,91.0,39.7
12567,1,28,194.0,99.0,23.0,95.0,40.6
7506,1,38,180.0,87.0,15.0,90.0,40.2
7799,0,35,169.0,67.0,13.0,96.0,40.1
4226,0,31,168.0,67.0,13.0,95.0,40.0
9826,1,60,200.0,107.0,21.0,98.0,40.4
8446,1,56,185.0,85.0,19.0,95.0,40.4
2910,1,22,173.0,74.0,20.0,98.0,40.4
13878,1,42,193.0,96.0,10.0,82.0,39.4
14367,0,34,168.0,69.0,16.0,96.0,40.3
12104,1,30,187.0,85.0,13.0,94.0,40.5
10186,1,42,163.0,63.0,9.0,89.0,39.6
10730,1,24,179.0,82.0,28.0,104.0,40.4
5125,1,52,192.0,99.0,7.0,88.0,39.6
2928,1,72,164.0,72.0,9.0,83.0,40.1
3166,0,61,171.0,72.0,6.0,80.0,39.2
14443,1,31,182.0,85.0,3.0,85.0,38.4
3378,1,29,195.0,96.0,19.0,95.0,40.3
180,0,78,153.0,54.0,13.0,84.0,40.3
6223,1,69,188.0,85.0,14.0,106.0,40.0
12515,1,73,170.0,78.0,25.0,101.0,41.4
4554,0,23,146.0,45.0,18.0,96.0,40.2
2218,0,20,149.0,52.0,16.0,91.0,40.4
12668,0,22,146.0,50.0,7.0,79.0,39.7
1955,0,43,166.0,66.0,12.0,89.0,40.1
1057,1,30,178.0,84.0,8.0,80.0,39.5
5967,1,69,183.0,91.0,21.0,92.0,40.3
6383,0,46,154.0,55.0,16.0,90.0,40.5
10539,1,32,183.0,83.0,29.0,104.0,41.0
13173,1,28,182.0,76.0,13.0,91.0,40.1
1399,1,60,173.0,73.0,22.0,108.0,40.8
13744,1,43,182.0,89.0,24.0,108.0,40.6
5572,0,28,143.0,52.0,6.0,83.0,39.2
10522,0,45,158.0,56.0,11.0,87.0,39.7
4125,1,40,183.0,90.0,5.0,80.0,39.0
9426,0,29,176.0,72.0,13.0,95.0,40.2
11060,1,25,179.0,76.0,11.0,90.0,40.3
2234,1,69,200.0,98.0,17.0,96.0,39.9
12041,1,44,194.0,92.0,24.0,98.0,40.8
7142,0,47,153.0,57.0,3.0,84.0,38.9
13363,0,45,166.0,63.0,8.0,80.0,39.6
1210,0,20,175.0,69.0,22.0,98.0,40.5
12867,1,25,174.0,79.0,12.0,97.0,40.3
10437,1,33,194.0,100.0,6.0,92.0,39.4
2238,0,20,143.0,48.0,27.0,107.0,40.6
6277,0,46,162.0,58.0,24.0,106.0,40.4
10742,0,60,174.0,68.0,18.0,97.0,40.1
2948,0,48,168.0,73.0,28.0,99.0,40.6
11767,0,63,176.0,73.0,20.0,96.0,40.9
8388,0,29,169.0,71.0,1.0,84.0,38.0
10163,0,28,150.0,51.0,18.0,99.0,40.5
4156,1,23,189.0,91.0,23.0,107.0,40.8
7662,0,25,172.0,71.0,15.0,103.0,40.1
12286,1,29,180.0,82.0,14.0,86.0,40.2
3577,1,23,172.0,78.0,20.0,97.0,40.3
4410,1,22,174.0,76.0,15.0,93.0,40.6
5294,0,46,170.0,72.0,15.0,99.0,40.2
11936,1,21,180.0,77.0,14.0,92.0,40.2
1434,1,76,172.0,74.0,10.0,94.0,40.1
14981,1,29,188.0,89.0,19.0,95.0,40.8
92,0,31,174.0,67.0,9.0,93.0,39.5
11385,0,59,168.0,67.0,5.0,91.0,39.6
7925,1,38,193.0,91.0,21.0,102.0,40.6
5849,1,41,187.0,91.0,25.0,103.0,40.7
13065,0,26,146.0,46.0,16.0,99.0,40.4
8454,0,59,157.0,57.0,26.0,101.0,40.6
13316,1,63,188.0,95.0,24.0,105.0,40.6
6215,0,45,151.0,48.0,28.0,111.0,40.7
3465,1,33,188.0,95.0,27.0,103.0,40.7
9537,1,38,199.0,102.0,17.0,92.0,40.4
14197,1,79,199.0,106.0,28.0,104.0,41.2
7438,0,39,168.0,64.0,6.0,80.0,39.5
10279,1,34,186.0,86.0,7.0,93.0,39.5
6596,1,24,194.0,95.0,7.0,84.0,39.4
9314,1,20,180.0,84.0,27.0,107.0,40.3
10466,1,59,177.0,85.0,17.0,91.0,40.3
9356,1,32,190.0,91.0,24.0,117.0,40.4
1084,1,55,193.0,98.0,24.0,112.0,40.8
8749,1,44,178.0,74.0,26.0,112.0,40.3
2777,1,76,190.0,95.0,22.0,104.0,40.4
5681,1,34,194.0,91.0,21.0,98.0,40.3
428,1,75,199.0,103.0,28.0,123.0,40.5
5015,1,20,189.0,86.0,11.0,91.0,40.1
8768,0,30,161.0,57.0,16.0,95.0,40.2
7401,0,54,156.0,60.0,24.0,102.0,40.5
4800,0,55,161.0,64.0,29.0,104.0,40.3
11227,1,46,185.0,94.0,9.0,87.0,40.1
13827,0,29,164.0,60.0,19.0,96.0,40.5
2698,1,72,178.0,79.0,19.0,108.0,40.1
6532,0,42,164.0,63.0,4.0,88.0,38.6
10779,0,65,169.0,71.0,17.0,96.0,40.3
11755,1,20,178.0,81.0,20.0,98.0,40.5
408,0,34,179.0,74.0,25.0,101.0,40.9
9706,1,26,187.0,89.0,22.0,103.0,40.7
14383,0,35,160.0,61.0,11.0,98.0,40.3
1608,1,37,168.0,68.0,25.0,97.0,41.1
10432,1,22,185.0,90.0,4.0,93.0,39.0
7149,1,37,196.0,91.0,28.0,110.0,41.0
4093,0,60,163.0,60.0,11.0,91.0,39.7
7665,1,37,178.0,81.0,4.0,81.0,38.8
4742,1,28,191.0,89.0,22.0,106.0,40.3
4953,0,61,154.0,55.0,14.0,95.0,40.2
9214,1,50,185.0,93.0,26.0,100.0,40.5
14579,0,31,161.0,60.0,2.0,82.0,38.3
426,1,43,201.0,104.0,28.0,103.0,40.7
949,0,31,160.0,60.0,12.0,95.0,40.2
8361,1,37,194.0,91.0,4.0,84.0,38.7
3393,0,40,172.0,59.0,8.0,83.0,39.3
2865,1,48,195.0,97.0,3.0,81.0,38.7
12969,1,73,213.0,113.0,12.0,103.0,39.9
8959,0,29,165.0,64.0,8.0,97.0,39.9
13656,1,51,192.0,96.0,2.0,77.0,37.8
11110,1,20,166.0,73.0,6.0,94.0,39.1
8167,0,49,163.0,62.0,30.0,100.0,41.2
10318,1,46,197.0,99.0,5.0,85.0,38.6
5910,1,27,169.0,69.0,16.0,102.0,40.2
7105,1,42,191.0,89.0,26.0,98.0,40.3
7847,0,31,156.0,57.0,26.0,104.0,40.6
1691,0,33,167.0,65.0,16.0,92.0,40.1
14877,1,67,180.0,88.0,13.0,96.0,40.0
12747,1,45,182.0,88.0,15.0,102.0,40.2
1421,0,26,167.0,68.0,28.0,104.0,40.9
14791,1,27,187.0,85.0,17.0,92.0,40.4
7372,1,76,195.0,95.0,5.0,82.0,39.2
819,1,58,198.0,96.0,12.0,92.0,39.7
6608,0,54,165.0,66.0,12.0,86.0,40.1
7258,0,79,160.0,62.0,18.0,97.0,40.2
14882,1,76,184.0,87.0,10.0,93.0,39.8
10605,1,56,175.0,78.0,29.0,110.0,40.8
14677,1,52,193.0,96.0,29.0,108.0,40.9
11212,0,48,167.0,68.0,18.0,98.0,40.3
10495,1,43,185.0,91.0,16.0,97.0,40.5
14127,0,25,159.0,59.0,8.0,92.0,40.0
9892,1,29,203.0,106.0,20.0,99.0,40.5
409,1,48,185.0,88.0,15.0,103.0,40.0
1285,1,35,202.0,105.0,5.0,81.0,39.3
8922,1,61,181.0,87.0,25.0,112.0,40.7
5225,0,72,166.0,68.0,3.0,76.0,38.2
6909,0,21,173.0,64.0,7.0,83.0,39.6
7625,0,32,172.0,65.0,7.0,83.0,39.6
5981,0,50,167.0,62.0,10.0,86.0,39.6
1091,0,22,157.0,59.0,27.0,113.0,40.9
4501,1,25,184.0,77.0,10.0,83.0,39.7
73,0,22,179.0,67.0,8.0,77.0,39.5
6825,1,49,166.0,72.0,11.0,83.0,39.7
11798,0,49,178.0,71.0,12.0,98.0,39.9
6526,1,54,181.0,85.0,9.0,85.0,39.7
11219,0,25,175.0,72.0,10.0,83.0,39.3
10192,0,52,160.0,58.0,18.0,94.0,40.3
14811,1,34,184.0,79.0,10.0,88.0,39.9
291,1,47,179.0,79.0,6.0,74.0,39.3
6086,0,27,184.0,72.0,22.0,98.0,41.0
7808,1,37,172.0,74.0,9.0,94.0,39.3
9143,0,45,156.0,56.0,25.0,105.0,40.7
11410,0,58,154.0,61.0,22.0,103.0,40.5
8059,0,28,169.0,64.0,13.0,94.0,39.8
2089,1,52,187.0,95.0,10.0,89.0,39.8
6286,0,55,159.0,59.0,7.0,86.0,39.1
1801,0,54,179.0,72.0,28.0,110.0,40.9
13752,0,68,175.0,69.0,8.0,97.0,40.1
11822,0,29,146.0,47.0,12.0,94.0,39.9
1576,1,25,204.0,98.0,22.0,108.0,40.4
1110,1,44,165.0,70.0,5.0,97.0,39.2
318,0,37,166.0,61.0,25.0,103.0,40.7
10400,0,57,154.0,57.0,19.0,88.0,40.5
7802,0,41,160.0,58.0,21.0,103.0,40.7
13590,0,26,159.0,55.0,26.0,104.0,41.0
6196,1,20,183.0,86.0,21.0,103.0,40.7
1825,0,26,163.0,62.0,15.0,97.0,40.2
3146,0,32,176.0,67.0,7.0,93.0,39.5
6452,1,41,178.0,81.0,13.0,87.0,40.0
4486,0,33,163.0,63.0,27.0,102.0,40.6
3411,0,33,166.0,65.0,4.0,84.0,38.6
144,1,20,188.0,84.0,27.0,104.0,41.0
9960,1,52,178.0,85.0,10.0,99.0,39.9
4562,1,30,182.0,86.0,25.0,94.0,41.0
7735,1,56,170.0,78.0,15.0,99.0,40.1
9051,1,33,180.0,80.0,27.0,121.0,40.9
10557,1,37,191.0,90.0,9.0,95.0,39.4
4556,1,25,180.0,85.0,23.0,105.0,41.0
9195,0,32,165.0,63.0,10.0,95.0,40.3
11013,0,72,168.0,66.0,26.0,102.0,40.7
4871,0,22,164.0,62.0,27.0,112.0,40.9
10413,1,24,195.0,97.0,9.0,83.0,39.3
11800,1,23,175.0,75.0,2.0,77.0,38.8
8257,0,26,176.0,73.0,24.0,104.0,40.5
11904,1,65,169.0,77.0,2.0,76.0,38.4
1830,0,20,170.0,59.0,6.0,83.0,39.3
8965,1,24,194.0,87.0,12.0,89.0,40.2
85,1,44,189.0,88.0,13.0,94.0,40.0
10090,1,28,179.0,75.0,17.0,100.0,40.3
1219,1,32,177.0,83.0,30.0,105.0,41.1
8403,1,48,187.0,86.0,27.0,106.0,41.1
5069,0,24,193.0,83.0,5.0,82.0,38.7
3576,1,28,194.0,95.0,29.0,106.0,40.8
12209,1,30,189.0,97.0,20.0,100.0,40.3
11299,1,39,171.0,77.0,16.0,103.0,40.4
5790,1,54,178.0,85.0,3.0,74.0,38.3
4209,1,20,198.0,102.0,10.0,89.0,39.5
14014,1,44,195.0,103.0,2.0,89.0,38.2
5438,0,22,170.0,70.0,27.0,107.0,40.5
14305,0,48,157.0,62.0,1.0,80.0,37.7
594,1,68,186.0,98.0,28.0,105.0,41.1
4639,0,28,165.0,58.0,5.0,83.0,38.8
7273,0,21,159.0,51.0,9.0,84.0,39.9
8142,0,44,164.0,63.0,24.0,105.0,40.7
12299,1,50,186.0,93.0,17.0,99.0,40.5
13847,1,64,185.0,88.0,4.0,88.0,39.1
8630,1,59,189.0,96.0,2.0,84.0,38.5
14543,0,77,154.0,61.0,8.0,88.0,39.4
14062,0,20,167.0,67.0,3.0,84.0,38.6
14024,1,62,200.0,111.0,19.0,101.0,40.4
61,0,77,177.0,80.0,16.0,98.0,40.6
5725,0,23,168.0,61.0,8.0,90.0,39.6
6114,0,22,153.0,56.0,7.0,92.0,39.5
13056,0,69,169.0,67.0,15.0,90.0,40.2
10684,1,54,167.0,66.0,2.0,84.0,38.1
10661,0,23,167.0,69.0,23.0,100.0,40.8
11712,1,29,178.0,81.0,23.0,101.0,40.8
8638,1,30,171.0,72.0,18.0,101.0,40.5
11857,1,24,193.0,89.0,10.0,95.0,39.7
12379,1,73,178.0,80.0,10.0,92.0,40.1
13386,0,62,171.0,66.0,23.0,103.0,40.4
9410,1,37,192.0,89.0,17.0,105.0,40.3
7316,1,39,191.0,93.0,21.0,97.0,40.5
14886,1,55,175.0,81.0,20.0,106.0,40.9
5990,0,35,148.0,50.0,28.0,103.0,40.7
7046,0,61,152.0,56.0,27.0,95.0,40.7
13134,1,47,194.0,98.0,19.0,102.0,40.5
7530,1,56,190.0,91.0,12.0,86.0,39.9
5411,1,52,203.0,102.0,5.0,82.0,38.9
958,0,34,135.0,41.0,14.0,92.0,40.2
472,0,53,175.0,75.0,13.0,90.0,40.2
13327,0,35,182.0,77.0,17.0,93.0,40.0
1513,0,57,172.0,70.0,13.0,84.0,40.2
2290,0,60,161.0,63.0,3.0,89.0,38.3
4738,0,55,164.0,59.0,10.0,86.0,39.9
